id,comment_text,Action,Adult,Adventure,Animation,Biography,Comedy
"""'Allo 'Allo!"" (1982) {The Fishmonger Float (#9.4)}",herr flick plan find paint fall madonna big boobies von smallhausen kidnap yvette mimi dress like take key go cafe order find paint general von klinkerhoffen tell colonel gruber hes plan blow hitler hell send fuhrer paint explosive list blow dont actually paint former forger monsieur leclerc paint helga pose fall madonna michelle important microfilm get england home pigeon,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {The Funeral (#1.5)}",renes funeral arrange village undertaker monsieur alphonse flick along girl friend private helga watch chance mourners include resistance members arrest plan leak monsieur leclerc pose priest resistance members attend rene pass twin brother nancy call rene come pay respect absence body michelle hide anti tank missiles give coffin course fall hearse cause explosion pose brother come run cafe rene make arrangements funeral undertaker visit cafe show war insist measure decease choose coffin shock price rene weigh bottle anti tank mine resistance leave keep herr flick gestapo attend funeral hope identify anyone resistance funeral go bang,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {The Generals' Conference (#5.9)}",general gather conference resistance learn french collaborator must eliminate mimi poison crabtree take place duck carry message england escape shoot bertorelli rest plan go ahead edith cause diversion offer general curiously strong peppermint doctor pill foam mouth require go hospital rene take photograph plan use camera conceal flip apron flick meanwhile helga fit leather wed dress,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {The Gestapo Ruins a Picnic (#7.5)}",madden anti nazi propaganda find town general von klinkerhoffen decide restart publish local newspaper fill nazi propaganda rene editor chief show human side germans decide photo paper germans occupy peasants show good time together meanwhile herr flick von smallhausen free monastery helga short cash,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {The Great Un-Escape (#3.6)}",rene communicate london radio hide madame fannys bed flick listen learn plan dig tunnel prison camp airmen alphonse need help dig rene staff join von strohm geering follow rene go tunnel collapse behind trap rene camp airmen cafe staff von klinkerhoffen make inspection prisoners germans girls disguise british servicemen fool,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {The Long-Distance Duck (#5.8)}",rene throw truck communists report paint communists head quarter general plan attack recover use bertorellis italians lazy unwilling cooperate general conference hold invasion england likely discuss michelle get rene cater get much information invasion result send back england long distance duck,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {The Nicked Knockwurst (#3.1)}",flick sausage contain forge paint kidnap communist resistance demand ransom return von strohm geering anxious flick discover part deception get rene pay ransom money edith obtain alphonse dress german soldier rene drop money observe german french party disguise gruber turn dog run sausage,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {The Policeman Cometh (#2.3)}",dress pantomime cow airmen narrowly avoid milk go land field pick plane home unfortunately plane drop parachute intelligence officer call crabtree pose gendarme mangle every attempt language von stahm rene meanwhile stop train reach berlin carry sausage contain paint plan blow blame resistance fail train pass,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {The Sausage in the Trousers (#4.5)}",resistance await batteries steal germans operate wireless bed meantime michelle rene yvette pedal bicycle attach generator power helga expose flick efforts bug general office von klinkerhoffen arrest gruber complete forgery paint deliver wrap sausage get mix real sausages ones contain batteries explosives,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {The Spirit of Nouvion (#7.6)}",michelle tell rene edith mimi resistance short cash mimi tell paint fall madonna herr flick safe michelle decide theyll try steal herr flick tell helga doesnt want anything anymore something decide godfather heinrich himmler colonel gruber bertorelli plan steal paint meanwhile local paper run rene spirit nouvion contest edith michelle mimi feel true spirit nouvion,0,0,0,0,0,1
"""'Allo 'Allo!"" (1982) {Up the Crick Without a Piddle (#7.4)}",instead yvette rene find plane london edith london rene edith come captain hans geering work english rene want stay england rest war edith want go back look cafe,0,0,0,0,0,1
"""'Da Kink in My Hair"" (2007) {All That Glitters (#1.9)}",joy relationship gary heat enter miss curvaceous vivacious pageant prize cant wait tell gary reaction expect meanwhile novelette ears staff demand money tell nigel bring business hed like raise nigel fill shop booty girls novelette face crisis conscience mirror story woman aspire become modern dancer decide trade successful career dance videos niece try follow footsteps,0,0,0,0,0,1
"""'Da Kink in My Hair"" (2007) {Chicken (#1.3)}",hottest day year toronto shop caribana fill city excite visitors sexy festivities everyones party except starr shop bustle activity pulse music except air conditioner fritz richard sexy father young new client happy stay behind fix novelette joy enlist dre help sell famous jerk chicken festival run trouble shes catch without license mirror story singer finally learn mean sisterhood,0,0,0,0,0,1
"""'Da Kink in My Hair"" (2007) {Computer Love (#2.9)}",starr introduce computer shop schedule appointments last thing joy want use instead joy find caribbean internet date site starr set profile hop meet true match starr joy create profile doubtful letty submit profile ladies receive unexpected result mirror story regina learn new boyfriend herpes must decide whether deal,0,0,0,0,0,1
"""'Da Kink in My Hair"" (2007) {Empress of Eglinton (#2.8)}",joy decide things need change shop deserve respect high time letty make partner joy surprise find letty open demand joy soon find respect come r word doesnt like much responsibility meanwhile starr enough bad service maxines decide take fitzroy battle good customer service mirror story charmaine constantly criticize negative mother every move appearance even relationship partner,0,0,0,0,0,1
"""'Da Kink in My Hair"" (2007) {Every Hoe Have Him Stick (#1.6)}",saturday morning shop open starr catch nigel cheque cash place spark fly accuse send money another girl back home time nigels answer serious starr see help dre chores realize judge quickly joy attack novelette conservative ways become increasingly apparent sisters really get others skin mirror story woman whos embarrass alopecia finally get nerve confess boyfriend wear wig,0,0,0,0,0,1
"""'Da Kink in My Hair"" (2007) {Fass & Facety (#1.2)}",joy turn staid older womans hair outrageous dance hall style novelette admonish staff allow starr try hand fix much joy chagrin joy starr continue clash result novelette buy ugly smock wear work meanwhile dre tease mercilessly beautiful girl wear church shoe novelette finally relent give money expensive name brand sneakers mirror story light skin bi racial teen lie high school peer black finally come term identity,0,0,0,0,0,1
"""'Da Kink in My Hair"" (2007) {Honesty the Best Policy? (#2.7)}",letty seem effectively balance motherhood work relationship richard lettys duck finally row cedric walk dres father lettys ex meanwhile joy use starrs power positive think receive unexpected windfall bank machine error mirror story lisa recently engage woman decide whether tell fiance major debt,0,0,0,0,0,1
"""'Da Kink in My Hair"" (2007) {Looks Can Be Revealing (#2.2)}",lettys mentor pop arrive shop need favor give grandson malik job lettys salon letty hesitant malik look like true thug joy idea start meanwhile starr try find acceptable gift mother birthday maliks friend skinnaz come shop amaze brand name goods starr sure legit mirror story elise single mother judge harshly clients work arts,0,0,0,0,0,1
"""'Da Kink in My Hair"" (2007) {Me Throw Me Corn But Me No Call No Fowl (#1.11)}",joy gary date maxines bump patrick childhood friend gary order take aback joy see patrick present promise ring novelette offer joy apprenticeship salon surprise sister say run gary first meanwhile starr refuse talk nigel baby mama drama need help fix overbear clients hair mirror story music therapist urge frustrate husband take mask figure,0,0,0,0,0,1
"""'Da Kink in My Hair"" (2007) {Of Papers and Patois (#2.3)}",starr oversee shop repair trouble trust caribbean work crew seemingly haphazard work practice dont even permit starrs lack trust ultimately cause trouble attempt take work meanwhile joy study official hairstylist exam doesnt trust abilities believe instead isnt booksmart letty attempt keep starr destroy shop ensure joy study trust women strain mirror story angela immigrant discover must redo entire foreign train canadian medical institution become doctor canada,0,0,0,0,0,1
"""'Da Kink in My Hair"" (2007) {Pardnah Me? (#2.12)}",things get hot starr julian julian drop homophobic bomb leave starr decide ecstasy integrity love really conquer meanwhile joy start pardnah west indian style bank group shampoo hit fan pardnah money go miss tief mirror story sister corrine date younger man must overcome age issue,0,0,0,0,0,1
"""'Da Kink in My Hair"" (2007) {Rules Are Made... (#1.1)}",saturday busiest days salon novelette discover joy hasnt fill appointment book everyone surprise high class wed party arrive unannounced snooty mother bride ms mavis expect preferential treatment novelette face uphill battle make good impression dre go upstairs ms mavis youngest daughter final straw mirror story sisters sandy nia finally team control mother ms mavis nias wed day hairstyle,0,0,0,0,0,1
"""'Da Kink in My Hair"" (2007) {The Man of the House (#1.7)}",tensions sisters run high joy begrudgingly pack flight jamaica care ail cantankerous mother novelette find thoughts occupy concern different family member dre become quick study social habit neighborhood men novelette pleasantly surprise dwayne offer help meanwhile nigel turn starr advice find friend father child mirror story woman unfaithful partner confront birth father baby,0,0,0,0,0,1
"""'Til Death"" (2006) {Baby Steps (#4.32)}",joy go overboard plan ally baby shower become obsess baby gift meanwhile mr white difficulty give ally doug shower gift dr bialik invite blossom cast mat participate therapy session doug,0,0,0,0,0,1
"""'Til Death"" (2006) {Brother's Keeper (#4.30)}",eddy brother charlie new boyfriend terence come visit eddie isnt exactly look forward weekend wine taste antique much eddy surprise though hit terence opt watch football participate plan weekend activities charlie break terence joy side charlie end question relationship eddie,0,0,0,0,0,1
"""'Til Death"" (2006) {Coupon Bob (#4.36)}",joy get angry eddie forget birthday decide cash coupons give years massage pedicure chores meanwhile kenny convince eddie need surprise handbag order forgive unfortunately eddie joy decide return handbag find hard way fake,0,0,0,0,0,1
"""'Til Death"" (2006) {Doug and Ally Return (#4.1)}",eddie joy free spirit daughter ally return trek ecuadorian rain forest new husband doug ally doug decide set camp trailer starks backyard ultimately ruin eddy plan instal jacuzzi meanwhile eddie joy attempt overcome dislike doug accept member family,0,0,0,0,0,1
"""'Til Death"" (2006) {Let's Go (#4.33)}",whitey decide throw surprise party year old grumpy uncle party guests surprise discover whitey hoarder house overflow junk meanwhile eddie rush get party joy doug ally take time get ready go,0,0,0,0,0,1
"""'Til Death"" (2006) {Mixed Doubles (#2.5)}",steph introduce eddie yoga jeff turn joy tennis couple begin spend time friends fun game jeffs competitive streak expose joy try get tennis lessons,0,0,0,0,0,1
"""'Til Death"" (2006) {Pilot (#1.1)}",eddie stark try convince new neighbor jeff attempt convince wife buy pool table good thing pointless disbelief jeff manage get pool table makeup sex eddie try use tactics wife get hot tub jeff mean whilst get job high school vice principal try create cool friendly image students despite embarrass last name,0,0,0,0,0,1
"""'Til Death"" (2006) {The Baby (#4.34)}",eddy book finally get publish day book sign ally go labor everyone show welcome new addition family meanwhile eddie give doug fatherhood tip ally apologize joy terrible daughter,0,0,0,0,0,1
