comment_text,business,sports,weather,national,international,government
adb announces new 1.2 bn annual package for paki,0,0,0,0,0,1
shanghai stocks slump defying bounce in asian shar,0,0,0,1,1,1
commodities recover ground after china led rou,0,0,0,1,1,0
asian shares wobble after china rate cu,0,0,0,0,0,0
agreement signed to form pakistan stock exchang,0,0,0,1,1,0
oil prices up in asian trad,0,0,0,0,0,0
dr. lodhi highlights pakistans investor friendly policies rings nasdaq opening b,1,0,0,1,0,1
ogra recommends petroleum ministry to slash pol pri,0,0,0,0,0,0
asian stocks up for second day on us gr,0,0,0,0,0,0
hksca hosts luncheon in honor of visiting rcci delegation in hou,1,0,0,0,0,1
traders warn of protest movement against withholding tax,0,0,0,0,0,1
petrol shortage in several parts of paki,0,0,0,0,0,1
cng price slashed by rs4 per kg,0,0,0,0,0,0
onion prices shoot up after indiabangladesh place import order,0,0,0,1,1,1
strike piles up trade cargoes prolonged stand off feared,1,0,0,1,1,1
oil prices swing wildly in china uncertainty,1,0,0,0,0,0
sindh traders to observe shutter down strike over withholding tax on sep 9,0,0,0,0,0,1
japan iran to start investment talks next ,0,0,0,1,1,0
kse 100 plummets over 1000 points in intra day trading,0,0,0,0,0,0
oil prices down in asian trad,0,0,0,0,0,1
dairy farmers association splits into two factions over milk price hi,0,0,0,0,0,1
oil prices mixed after weak chinese trade d,0,0,0,0,0,0
cost of quaid e azam solar power project cut by rs2bn shahbaz,0,0,0,1,1,1
china pakistan set to sign cpec zone d,0,0,0,1,1,1
dubai property developers upbeat despite falling pri,0,0,0,0,0,0
withholding tax traders businessmen observing strike today,1,0,0,0,0,1
oil prices up in asian trad,0,0,0,0,0,0
pm nawaz orders audit of nandipur power proj,0,0,0,0,0,1
asian markets retreat as china fed feed cauti,0,0,0,0,0,1
pm nawaz underscores need for enhancing expor,1,0,0,0,0,1
asia markets calm after tough week but us rates in focu,0,0,0,0,0,0
state bank announces monetary policy,0,0,0,0,0,0
nab files another rental power reference against raja pervez ashraf,0,0,0,1,0,0
shahid khaqan says gas from sindh not being directed anywher,0,0,0,0,0,1
oil prices mixed in asian trad,0,0,0,0,0,0
pia offers 25pc discount on domestic tickets for eidul az,1,0,0,0,0,0
oil prices diverg,0,0,0,0,0,0
government stresses coal based power generati,0,0,0,1,0,1
oil falls ahead of fed decisi,0,0,0,0,0,0
seven power projects to reach financial close by year end minister,0,0,0,1,1,1
oil up in asia but oversupply weak demand weig,0,0,0,0,0,0
oil price rally reverses as dollar ticks higher,0,0,0,1,1,0
lpg price slashed by rs10 per kg irfan khokhar,0,0,0,0,0,0
asian stocks currencies sink after china factory d,0,0,0,1,0,0
most asia markets bounce from losses tokyo sinks on retur,0,0,0,0,0,0
oil prices ease in asi,0,0,0,0,0,0
karachiites spent rs30 billion on eid sacrifi,0,0,0,0,0,0
ogra recommends reducing pol pri,0,0,0,0,0,0
nepra makes consumers pay billions mor,0,0,0,0,0,1
finance minister announces pol prices to remain unchanged for ,0,0,0,0,0,0
deadline to file income tax extended till october 31,0,0,0,0,0,0
asia markets rebound glencore surges after cr,1,0,0,0,0,0
pakistans forex reserves highest ever at 20bn ishaq dar,0,0,0,1,1,1
fbr runs rs63 bn short of tax collection targ,0,0,0,0,0,1
pakistan korea ink 500 million framework agr,0,0,0,0,0,1
uae says to invest 35bn in clean energy by 2021,0,0,0,1,1,0
air france hr manager almost lynched in job cut pr,0,0,0,1,0,1
12 pacific countries seal huge free trade d,1,0,0,1,0,0
oil extends gains in asi,0,0,0,0,0,0
dar prevents sons undertaking business ventures in paki,1,0,0,1,0,0
chinese keen to invest in paki,1,0,0,0,0,0
oil prices sustain rally,0,0,0,1,1,0
imf apprised of privatisation plan for pia ,0,0,0,1,1,1
pakistans forex reserves climb to 20.05402 b,0,0,0,1,1,1
water short pakistani farmers test less thirsty way to grow ri,0,0,1,1,1,0
nepra announces advance tariff for khushab solar ,0,0,0,1,0,0
aptma punjab zone to observe black day tomorr,0,0,0,0,0,1
tariq bhatti replaces mohammad mehmood as md nandipur proj,0,0,0,0,0,0
oil prices fall before us inventory d,0,0,0,1,1,0
pakistan russia ink agreement to build karachi lahore gas pipeli,0,0,0,0,0,1
aptma chairman sees flexibility in govt over demand,0,0,0,0,0,1
pol prices expected to rise in november,0,0,0,0,0,0
oil retreats in asia as china slowdown weig,0,0,0,0,0,1
oil prices drop in asia on oversupply fear,0,0,0,0,0,0
pakistan to get 178 mn adb assistance on easy i,0,0,0,0,0,0
nepra approves rs2.88 per unit cut in power tariff for september,0,0,0,1,0,0
oil prices edged up after recent ,0,0,0,0,0,0
asian stocks advance on china rate cut us tech earning,0,0,0,0,0,1
eu lawmakers end mobile roaming charg,0,0,0,0,0,0
oil prices retreat in asi,0,0,0,1,1,0
dollar jumps to rs105.70 in open mar,0,0,0,0,0,0
pol prices likely to see major hike from nov 1,0,0,0,0,0,1
rupee sinks to fresh two year low against dollar,0,0,0,1,1,0
oil rally fizzles as fed rate hike comments boost dollar,1,0,0,0,0,0
futuretech brings iphone 6s iphone 6s plus to paki,0,0,0,0,0,0
lpg price up by rs 8 per kg,0,0,0,0,0,1
asian stocks dollar retreat on weak chinese manufacturing d,0,0,0,0,0,1
oil prices up in asia ahead of us crude inventories repor,0,0,0,0,0,1
oil prices flat in asia on us data and supply concer,0,0,0,1,1,1
pakistan to receive 10th imf loan tranche in d,0,0,0,1,1,0
dollar steady as fed chief keeps december rate rise in play,0,0,0,0,0,0
oil prices adv,0,0,0,1,1,0
pakistan finalises 15 year 16bn lng deal with qatar,0,0,0,0,0,0
moodys ups pakistan banking system outlook to stab,0,0,0,0,0,1
oil prices resume decline in asi,0,0,0,1,1,0
us dollar slips as aussie lifted by jobs d,0,0,0,0,0,1
oil prices under pressure in asi,0,0,0,0,0,0
turkey cancels 3.4 bln missile deal with chi,0,0,0,1,0,1
asia markets down after paris attacks japan in recessi,0,0,0,0,0,1
federal govt releases rs201 bn for uplift proj,0,0,0,1,0,1
oil prices up in asia but gains limited,0,0,0,0,0,1
pakistan on its way to become worlds 18th best economy ishaq dar,0,0,0,0,0,1
global stock markets falter before weekend,0,0,0,0,0,0
sbp keeps policy rate unchanged at 6,0,0,0,1,1,1
oil down in asia on oversupply fear,0,0,0,1,1,0
power tariff cut likely after fuel adjustment for ,0,0,0,1,0,0
new tax amnesty scheme for traders in the offing,1,0,0,0,0,1
oil prices down on diplomatic efforts to ease middle east tensi,0,0,0,0,0,0
pakistans foreign exchange reserves rise to 19.828 b,0,0,0,0,0,0
sponsored volta offers free battery inspection in three citi,0,0,0,0,0,1
pakistan to invite paypal alibaba to start e commerce servi,0,0,0,1,1,1
duty on 313 imported items to go up in 72 hour,0,0,0,0,0,1
oil prices up in asi,0,0,0,0,0,0
oil prices gain ahead of opec meeting,0,0,0,0,0,0
pakistan aims to raise 379 million in new taxes to meet imf targ,0,0,0,1,1,1
oil prices trade below 42 in asi,0,0,0,0,0,0
oil prices rise in asia with opec meeting in focu,0,0,0,0,0,1
asian shares swing on weak factory d,0,0,0,1,1,0
opec decides against cutting oil output nigeri,0,0,0,0,0,0
global stocks fall as ecb underwhelms investor,0,0,0,0,0,0
home world set to distribute kiwi mobiles in paki,0,0,0,0,0,0
presidential ordinance govt ready to set up parliamentary commi,0,0,0,1,1,1
Oil stays below 40 after OPEC decides against output cu,0,0,0,0,0,0
K Electric slashes tariff by Rs208 per uni,0,0,0,1,0,0
Oil price plunge China data hit Asian mar,0,0,0,0,0,0
Symmetry Group wins big at Campaign Asia Awards 2015,1,0,0,0,0,0
Oil gain fails to halt fresh slide on Asian mar,0,0,0,0,0,0
Oil prices up in Asian trad,0,0,0,0,0,0
Global stock selloff on seven year oil ,0,0,0,1,1,0
PML N put failed state back on its feet again Dar,0,0,0,1,0,1
Intl investors showed interest in Pakistans gas sector Par,0,0,0,1,1,1
Oil plunge fuels run on energy firms as Asia stocks tumb,0,0,0,1,1,0
Oil prices mixed in Asia ahead of Fed mov,0,0,0,0,0,0
Dollar steady ahead of Fed rate hike decisi,0,0,0,0,0,0
Oil prices extend losses in Asia after inventory repor,0,0,1,1,1,1
Oil heads for third weekly loss after new signs of inventory building,0,0,0,0,0,0
Global stocks fall as Fed is second guessed,0,0,0,0,0,1
Oil extends slide on US production export worri,0,0,0,0,0,0
No intention to privatize PIA Ishaq Dar,0,0,0,1,1,1
Gold keeps gains from two day rally but oil slump a worry,0,0,0,0,0,0
Dollar dips as effect of Fed rise wears off,0,0,0,1,0,0
Oil extends rally in Asia after US repor,0,0,0,0,0,0
Major challenges of economic revival grasped Dar,1,0,0,0,0,1
Income tax collection rose 16 pc in five months Dar,0,0,0,1,1,1
Saudi Arabia posts record 98 bn budget deficit for 2015,0,0,0,0,0,1
Gold slips with oil softer dollar fails to lift ,0,0,0,1,1,0
Oil prices weaken US crude defends premium over Br,1,0,0,1,1,1
Half a million tax payers file e Returns this year,0,0,0,0,0,0
Banks to remain closed on January 01,0,0,0,0,0,0
NEPRA cuts power tariff by Rs 206 per uni,0,0,0,1,0,0
Asia stocks subdued as oil resumes f,0,0,0,0,0,0
Efforts afoot to pull PIA out of deficit Ishaq Dar,0,0,0,1,1,1
Trade Policy Framework 2015 18 to be announced ,0,0,0,1,1,0
Global growth will be disappointing in 2016,0,0,0,1,1,0
Crude oil prices drop more than 1 per,0,0,1,0,0,0
Oil ends 2015 down 35 per,1,0,1,0,0,0
Effective anti corruption strategy yielded results NAB Chief,0,0,0,1,0,0
Power sector recoveries stand at 93 pcin 2015 Asif,0,0,0,0,0,1
FIA nabs three senior officials of AKD over graft charg,0,0,0,1,0,0
Oil surges on Saudi Arabia Iran tensi,0,0,0,0,0,0
Asia shares try to stabilize China edges higher,0,0,0,0,0,1
SBP freezes bank accounts of Rs1 bn over terror funding charg,0,0,0,1,0,0
Oil slides to new 11 year low over Saudi Iran r,0,0,0,0,0,0
Asia subdued as crude oil flounder,0,0,0,0,0,0
Saudi Iran split dashes chance of OPEC deal to curb oil glu,0,0,0,1,1,0
World Bank cuts global economic growth ou,0,0,0,0,0,0
Brent crude hits new 11 year ,0,0,0,0,0,0
Pakistan forex reserves fall to 20810 b,0,0,0,0,0,0
Oil moves away from 12 year lows as China shares ri,0,0,0,0,0,0
Global stocks crater in worst week in 4 year,0,0,0,0,0,0
NA Special Committee on PIA to meet on Monday,0,0,0,1,1,0
Workers remittances up 626 to 97 bn in first half of FY16,0,0,0,0,0,0
Ishaq Dar formally launches Pakistan Stock Exchang,0,0,0,1,1,1
Gold firm on safe haven demand as stocks face headwind,0,0,0,0,0,0
K Electric petitions NEPRA for hike in November bi,0,0,0,1,0,0
US crude oil prices approach 20 pc fall since beginning of 2016,0,0,0,0,0,0
Asia stocks cheered by China trade surpri,0,0,0,0,0,0
Brent falls to another 12 year low as Iran supply ,0,0,0,0,0,0
Crude oil falls as market braces for more Iranian oi,0,0,0,0,0,0
Modi launches 15 bln fund to support start u,1,0,0,1,0,1
Chipotle to shut outlets next month for food safety meeting,0,0,0,0,0,0
MAP hosts seminar on Island of Ex,0,0,0,0,0,0
IMF appreciates Pakistans steps for fiscal manag,0,0,0,1,1,1
Pak China Business Conference opens in Islamabad,1,0,0,0,0,0
Oil slides to lowest since 2003 as Iran sanctions are lifted,0,0,0,1,1,0
Asia stocks up modestly as China GDP figures match expectati,0,0,0,1,1,0
Gold edges up as stocks retreat oil strugg,0,0,0,1,1,0
Asia stocks get welcome respite as crude prices bou,0,0,0,0,0,0
Oil prices stretch gains on cold US European weather,0,0,1,1,1,0
Crude extends gains after surge on short covering cold ,1,0,1,0,0,0
Asia stocks rise after US snowstorm rescues oil pri,0,0,1,0,0,0
Gold hits two week high as equities retreat agai,0,0,0,0,0,0
Asia stocks find support oil still unstab,0,0,0,0,0,0
Pakistans forex reserves drop by 109 milli,0,0,0,0,0,0
PIA suffers Rs500 mn loss due to ongoing strike spokesper,0,0,0,1,1,0
PM announces Rs5 per litre cut in POL pri,0,0,0,1,1,1
POL prices slashed by Rs5litre from Monday,0,0,0,0,0,1
Pakistan Jan inflation rate rises to 332 ,0,0,0,0,0,0
Asia stocks edge up after Japan policy boost debt shi,0,0,0,1,1,1
Gold hits three month high on shaky global economy,0,0,0,0,0,0
IMF approves 497 mln tranche for Paki,0,0,0,1,1,1
Crude oil prices steady in thin Asian trading,0,0,0,1,1,0
Asia stocks slip in holiday thinned trad,0,0,0,1,1,0
WB president for Pakistan to invest in people to boost economy,0,0,0,0,0,1
Pakistan begins Kinnow expor,0,0,0,0,0,1
WB acknowledges Pakistans growing economy,1,0,0,0,0,1
IEA sees global oil glut worsening OPEC deal unlikely,1,0,0,1,1,0
Gold on course for longest winning run since 2011,0,0,0,0,0,0
Pakistan workers remittances rise 6 in 7 ,0,0,0,0,0,0
PIA reduces far,0,0,0,1,1,0
