text,l1,l2,l3
"California Suite is a 1976 play by Neil Simon. Similar in structure to his earlier Plaza Suite, the comedy is composed of four playlets set in Suite 203-04, which consists of a living room and an adjoining bedroom with an ensuite bath, in The Beverly Hills Hotel.",Work,WrittenWork,Play
"The FÃ?hrer Grenadier Brigade (formerly FÃ?hrer Grenadier Battalion later FÃ?hrer Grenadier Division) was an Ã©lite German Heer combat unit which saw action during World War II. The FÃ?hrer Grenadier Brigade is sometimes mistakenly perceived as being a part of the Waffen-SS, whereas it was actually a Heer unit and technically assigned to the GroÃŸdeutschland Division. This misconception comes from its original duty of guarding Adolf Hitler's East Prussian Wolfsschanze Headquarters, a task which sounded similar to the original one of Waffen-SS 1. Panzer Division \""Leibstandarte SS Adolf Hitler\"", which in turn stemmed from the FÃ?hrer's original bodyguard corps. Fighting on both the Eastern and Western Fronts, the brigade surrendered to U.S. forces in Austria in 1945.",Agent,Organisation,MilitaryUnit
"In 2010 the former NAWIRA Caribbean Womenâ€™s Rugby Championship became the NACRA Womenâ€™s Rugby Championship, potentially broadening its coverage in accordance with the widened aim of its recently renamed sponsor.",Agent,SportsLeague,RugbyLeague
"Sammy William Walker (born January 20, 1969) is a former professional American football cornerback in the National Football League. He played three seasons for the Pittsburgh Steelers (1991â€“1992) and the Green Bay Packers (1993â€“1994). He was selected by the Steelers in the fourth round of the 1991 NFL Draft. He played college football at Texas Tech University. Walker was blinded in ninth grade, in a construction accident and had laser surgery in 1992. Most recently he has coached indoor football from 2003â€“present.",Agent,GridironFootballPlayer,AmericanFootballPlayer
"DearS (ãƒ‡ã‚£ã‚¢ãƒ?ã‚º DiÄÅzu) is a Japanese manga series co-written and illustrated by Banri Sendo and Shibuko Ebara, credited under their pen name Peach-Pit. It was serialized monthly by MediaWorks in their magazine Dengeki Comic Gao! from March 2002 to December 17, 2005 and was later published into a ten volume set by the company. The manga was licensed and translated into English by Tokyopop. A 13-episode anime was adapted by MSJ and a PlayStation 2 video game was produced by MediaWorks.",Work,Comic,Manga
"The 2006 Hopman Cup (also known as the Hyundai Hopman Cup for sponsorship reasons) was the eighteenth Hopman Cup tournament. The champions were Lisa Raymond and Taylor Dent of the United States. The Netherlands qualified and reached the final. MichaÃ«lla Krajicek won her singles match, and Taylor Dent beat Peter Wessels. The mixed doubles competition was won in close sets by Raymond and Dent. The event was held at the Burswood Entertainment Complex in Perth on 30 December 2005 through 6 January 2006. This was the first elite-level tennis tournament in which players could challenge line calls using the Hawk-Eye technology. Players or teams had a limit of two unsuccessful challenges per set.",Event,Tournament,TennisTournament
"Fujiyama is a steel roller coaster at Fuji-Q Highland, Fujiyoshida, Yamanashi, Japan. When Fujiyama opened in 1996 it was the world's tallest roller coaster at 259 feet (79 m), and had the largest drop in the world at 230 feet (70 m). Fujiyama was also the world's fastest roller coaster for a year of its operation, succeeded by Tower of Terror at Dreamworld theme park in Queensland, Australia in 1997. Despite being the world's fastest roller coaster in operation for a year, Fujiyama set no world records for roller coaster speed. Steel Phantom at Kennywood set the world record for speed before engineers added additional brakes to slow the ride down because of safety and rider comfort concerns.",Place,AmusementParkAttraction,RollerCoaster
"Lille Airport (French: AÃ©roport de Lille) (IATA: LIL, ICAO: LFQQ) is an airport located in Lesquin, 7 km (4 mi) south-southeast of Lille, a city in northern France. It is also known as Lille-Lesquin Airport or Lesquin Airport. Lille is the principal city of the Lille MÃ©tropole, the capital of the Nord-Pas de Calais region and the prefecture of the Nord department. The airport is 15 minutes from the city centre of Lille. It is the 12th busiest French airport in number of passengers: around 970,000 passengers in 2001 and 1,397,637 passengers in 2012. In terms of shipping, it ranks fourth, with almost 38,000 tonnes of freight which pass through each year.",Place,Infrastructure,Airport
"Mohammed Adil Shah was the ruler of Bijapur, ascending the throne in 1627 at the comparatively young age of sixteen years. This was accomplished with the help of two Bijapuri nobles â€“ Daulat Khan (later entitled as Khawas Khan) and Mirza Muhammad Amin Lari (later entitled as Mustafa Khan).",Agent,Person,Monarch
"Olios lamarcki, is a species of spider of the genus Olios. It is found in Madagascar to Sri Lanka and India. The subspecies O. lamarcki taprobanicus is endemic to Sri Lanka.",Species,Animal,Arachnid
"George Caram Steeh III (born 1947) is a Senior Judge of the United States District Court for the Eastern District of Michigan. Born in Ann Arbor, Michigan, Steeh received a B.A. from the University of Michigan in 1969 and a J.D. from the University of Michigan Law School in 1973. He was a Genesee County Prosecutor's Office from 1973 to 1980. He was an Assistant prosecuting attorney from 1973 to 1978. He was a First assistant prosecuting attorney from 1978 to 1980. He was in private practice in Michigan from 1980 to 1988. He was a Public administrator, Macomb County from 1986 to 1989. He was a judge on the 41-B District Court, State of Michigan from 1989 to 1990. He was a judge on the 16th Circuit Court of Michigan from 1990 to 1998. Steeh is a federal judge on the United States District Court for the Eastern District of Michigan. Steeh was nominated by President Bill Clinton on September 24, 1997, to a seat vacated by Barbara K. Hackett. He was confirmed by the United States Senate on May 13, 1998, and received his commission on May 22, 1998. He assumed senior status on January 29, 2013. In October 2010, he was the first of several federal court judges to hear a case concerning the constitutionality of the Affordable Care Act. The main question here is whether the Commerce Clause of the Constitution of the United States gives the United States Congress the authority to buy any commercial product, which in this case is health insurance. Judge Steeh ruled that the Act is constitutional, writing: \""These decisions, viewed in the aggregate have clear and direct impacts on health care providers, taxpayers and the insured population who ultimately pay for the care provided to those who go without insurance,\"" and that choosing not to obtain health insurance qualifies as an example of \""activities that substantially affect interstate commerce.\"" According to the Supreme Court of the United States, if a federal law arbitrates activities that substantially affect interstate commerce, then that law complies with the Commerce Clause. Steeh's father, George C. Steeh, served in the Michigan Legislature and as a district court judge in Macomb County.",Agent,Person,OfficeHolder
"Diego Rovira (born September 26, 1982 in Lima, Peru) is an American indoor soccer who formerly played for the San Diego Sockers in the Professional Arena Soccer League. He is currently a Sr. Director of Client Services for digital marketing agency 3Q Digital.",Agent,Athlete,SoccerPlayer
"Epidirona candida is a species of sea snail, a marine gastropod mollusk in the family Turridae, the turrids.",Species,Animal,Mollusca
"Ceramanus elegans is a species of leafy liverworts in the family Lepidoziaceae. It is found in New Zealand. The type specimen has registration number H007861 at the Museum of New Zealand. The type locality was Great Barrier Island, North Island, North Auckland.",Species,Plant,Moss
"Pichaqani (Aymara pichaqa, phichaqa, piqacha a big needle, -ni a suffix, \""the one with a big needle\"", also spelled Pichacani) is a 4,240-metre-high (13,910 ft) mountain in the Bolivian Andes. It is located in the Cochabamba Department, Quillacollo Province, Vinto Municipality. Pichaqani lies southwest of Tunari and southeast of Phullu Punchu.",Place,NaturalPlace,Mountain
"The Bornean bristlehead (Pityriasis gymnocephala), also variously known as the bristled shrike, bald-headed crow or the bald-headed wood-shrike, is the only member of the passerine family Pityriaseidae and genus Pityriasis. It is an enigmatic and uncommon species of the rainforest canopy of the island of Borneo, to which it is endemic.",Species,Animal,Bird
"Saint Pinytus born in Greece, was Bishop of Cnossus, Crete in the late 2nd century. Not much is known about his life but it is known that Pinytus was looked up to by St. Eusebius of Caesarea, who said that he was one of the foremost ecclesiastical writers of his time. Pinytus was in constant contact with Dionysius of Corinth, it seemed to two had disagreements. Dionysius, it appears, wrote to the Pinytus asking him not to impose too strict a yoke of chastity upon his brethren. But Pinytus was unmoved by this counsel and replied that Dionysius might impart stronger doctrine and feed his congregation with a more perfect epistle inasmuch as Christians could not always subsist on milk or tarry in childhood. It may be that Pinytus was influenced by Montanistic views; however, Eusebius vouches for his orthodoxy and his care for the welfare of those placed under him.",Agent,Cleric,Saint
"(This article is about the Scottish band. For the climate phenomenon, see North Atlantic Oscillation.) North Atlantic Oscillation are a post-progressive rock and electronica band from Edinburgh, Scotland. They are signed to the Kscope record label and released their debut album Grappling Hooks on 22 March 2010. The band currently consists of Sam Healy (lead vocals, guitars, keyboards), Ben Martin (drums, programming) and Chris Howard (bass, bass synth, backing vocals). The band was initially formed in 2005 by Healy, who had played in several bands previously, and Martin, who had moved from the English Midlands to Edinburgh to study. The duo later expanded to a three piece when they added Bill Walsh to the live line-up. After Walsh left at the end of 2009 he was replaced by Howard, although Walsh still appears on-stage with the band from time to time on guitars and additional keyboards, and has produced several remixes for the band. The band are named after the North Atlantic Oscillation, a fluctuating change in the atmospheric pressure differential that exists between the Icelandic Low and Azores High. In November 2009 the band released an EP titled Callsigns EP. As well as containing their own song \""Cell Count\"", it also featured a remix by Engineers (also signed to Kscope) and a cover of \""I Only Have Eyes For You\"", a song made popular by the American doo-wop group The Flamingos during the 1950s. During 2008, financed by Healy, the band recorded and mixed their debut album Grappling Hooks which was released on 22 March 2010 on the Kscope record label. It has received largely positive reviews from critics including the NME and Uncut magazine. Clash described the album as, \""a near-criminal stockpile of beeps, buzzes and glitches generously sprayed over a spacious psychedelic rock canvas\"". However, some critics offered negative views. This included Drowned in Sound who criticised the record for failing to, \""hit the heights it aims for\"". Nevertheless, during the week of its release it was featured as 'Album of the Week' on Zane Lowe's popular BBC Radio 1 evening show. Lowe himself described the music as, \""super exciting new Rock n Roll for a new decade\"". Their music has been compared to contemporary American bands such as Grandaddy and The Flaming Lips, Scottish bands such as The Beta Band, and 70s prog-rock band Pink Floyd. Their music combines elements of electronic beats with alt-rock guitars and \""hazy vocals\"". In 2013 Healy released a solo album under the name 'Sand', also on Kscope Music. In August 2014, North Atlantic Oscillation announced their third studio album 'The Third Day'. The album will be released on 6 October 2014 via Kscope.",Agent,Group,Band
"Mir EO-3 (also called Mir Principal Expedition 3) was an expedition to the space station Mir. The crew consisted of 3 people, Musa Manarov (Commander), Vladimir Titov (Flight Engineer) and Valeri Polyakov (Research Doctor). Manarov and Titov arrived at the station in December 1987 on Soyuz TM-4, while Polyakov arrived much later, in August 1988 on Soyuz TM-6. After the arrival of Polyakov, medical experiments became more intensive.",Place,Satellite,ArtificialSatellite
